Date;Type;Merchant/Description;Debit/Credit;Balance;
28/11/2024;CARD PAYMENT;**** ******* ** ** ***************   ** **********;-£169.90;+£104.09;
28/11/2024;CARD PAYMENT;**** ******* ** *** ***** ****   ** **********;-£9.99;+£273.99;
27/11/2024;CARD PAYMENT;********* *** **** ***** ***** ** **********;-£3.58;+£283.98;
27/11/2024;CARD PAYMENT;****************** **** ***** ***** ** **********;-£2.00;+£287.56;
27/11/2024;CARD PAYMENT;****** ******** ****** **** ***** ***** ** **********;-£2.00;+£289.56;
27/11/2024;CARD PAYMENT;************** ******* **** ***** ***** ** **********;-£4.50;+£291.56;
27/11/2024;CARD PAYMENT;***** **** ******* **** ***** ***** ** **********;-£5.25;+£296.06;
27/11/2024;CARD PAYMENT;**** ******* ** ******** *******   ** **********;-£55.00;+£301.31;
26/11/2024;CARD PAYMENT;****************** **** ***** ***** ** **********;-£2.00;+£356.31;
26/11/2024;CARD PAYMENT;***** **** ******* **** ***** ***** ** **********;-£5.25;+£358.31;
26/11/2024;PAYMENT;****** ******** ******* ******* ****** **** * *******;+£300.00;+£363.56;
26/11/2024;CARD PAYMENT;***** *** **** **** ***** ***** ** **********;-£9.80;+£63.56;
25/11/2024;PAYMENT;****** ******** ******* ******* ********* **** * *******;+£10.00;+£73.36;
25/11/2024;CARD PAYMENT;*** ***** ****** ***** **** ***** ***** ** **********;-£14.07;+£63.36;
25/11/2024;CARD PAYMENT;**** ** ********** **** ***** ***** ** **********;-£6.18;+£77.43;
25/11/2024;CARD PAYMENT;**** ******* ** ***** *******   ** **********;-£17.99;+£83.61;
25/11/2024;PAYMENTS;**** ******* *** ****** ******* ** ***************** **** ** ** ********* ************** *;-£33.97;+£101.60;
25/11/2024;PAYMENT;****** ******** ******* ******* ********* **** * *******;+£35.00;+£135.57;
25/11/2024;PAYMENT;****** ******** ******* ********* ********* **** * *******;+£20.00;+£100.57;
25/11/2024;PAYMENT;****** ******** ******* ******* *** **** **** **** * *******;+£35.00;+£80.57;
24/11/2024;PAYMENT;****** ******** ******* ********* **** * *******;+£20.00;+£45.57;
24/11/2024;PAYMENT;****** ******** ******* ********* **** * *******;+£18.00;+£25.57;
24/11/2024;CARD PAYMENT;***** *** **** **** ***** ***** ** **********;-£7.24;+£7.57;
24/11/2024;CARD PAYMENT;**** ******* ** ** ******** **** **   ** **********;-£36.97;+£14.81;
23/11/2024;PAYMENT;****** ******** ******* ************* **** * *******;+£10.00;+£51.78;
23/11/2024;CARD PAYMENT;******* *** **** * **** ***** ***** ** **********;-£9.18;+£41.78;
23/11/2024;PAYMENT;****** ******** ******* ************* **** * *******;+£5.00;+£50.96;
23/11/2024;CARD PAYMENT;****** ******** ****** **** ***** ***** ** **********;-£2.00;+£45.96;
23/11/2024;CARD PAYMENT;****** ******** ****** **** ***** ***** ** **********;-£2.00;+£47.96;
22/11/2024;CARD PAYMENT;****************** **** ***** ***** ** **********;-£2.00;+£49.96;
22/11/2024;CREDIT IN;**** ******* **** ****** ******* *** ******* ********* ****;+£4.50;+£51.96;
22/11/2024;CARD PAYMENT;***** **** ******* **** ***** ***** ** **********;-£5.25;+£47.46;
22/11/2024;CARD PAYMENT;***** ****** **** **** ***** ***** ** **********;-£3.70;+£52.71;
22/11/2024;CARD PAYMENT;****** ******** ****** **** ***** ***** ** **********;-£2.00;+£56.41;
22/11/2024;CARD PAYMENT;****************** **** ***** ***** ** **********;-£2.00;+£58.41;
21/11/2024;CARD PAYMENT;************** ******* **** ***** ***** ** **********;-£9.90;+£60.41;
21/11/2024;CARD PAYMENT;********** ** ***** ** **** ***** ***** ** **********;-£1.00;+£70.31;
21/11/2024;CARD PAYMENT;****** ******** ****** **** ***** ***** ** **********;-£2.00;+£71.31;
20/11/2024;CARD PAYMENT;********** ** ***** ** **** ***** ***** ** **********;-£1.00;+£73.31;
20/11/2024;CARD PAYMENT;***** ****** **** ***** ***** ** **********;-£11.00;+£74.31;
20/11/2024;CARD PAYMENT;***** ****** **** ***** ***** ** **********;-£8.47;+£85.31;
20/11/2024;CARD PAYMENT;****** ******** ****** **** ***** ***** ** **********;-£2.00;+£93.78;
20/11/2024;CARD PAYMENT;****** ******** ****** **** ***** ***** ** **********;-£2.00;+£95.78;
19/11/2024;PAYMENTS;**** ******* *** ****** ******* ** ***** ******* ********* ******* * ******* ** **;-£25.00;+£97.78;
19/11/2024;CARD PAYMENT;****** ******** ****** **** ***** ***** ** **********;-£2.00;+£122.78;
18/11/2024;CARD PAYMENT;**** ******* ** ******************   ** **********;-£354.50;+£124.78;
17/11/2024;CARD PAYMENT;********** ****** **** ***** ***** ** **********;-£6.50;+£479.28;
17/11/2024;CARD PAYMENT;****************** **** ***** ***** ** **********;-£2.00;+£485.78;
17/11/2024;PAYMENTS;**** ******* *** ****** ******* ** ******* ****** ********* ******* * ******* ** **;-£10.00;+£487.78;
17/11/2024;PAYMENT;****** ******** ******* ********** ******** **** * *******;+£50.00;+£497.78;
17/11/2024;CARD PAYMENT;**** ******* ** ****** ***************   ** **********;-£8.99;+£447.78;
